,Country/Region,Total_Cases,Deaths,Recovered_Cases,Active_Cases,Serious_Cases,Total_Test,Cases_per_million,Deaths_per_million
69,kenya,41158.0,760.0,31876.0,8522.0,0.0,580039.0,761.0,14.0
70,afghanistan,39703.0,1473.0,33064.0,5166.0,93.0,113957.0,1014.0,38.0
71,hungary,36596.0,933.0,9683.0,25980.0,110.0,815367.0,3791.0,97.0
72,serbia,34685.0,762.0,31536.0,2387.0,22.0,1191630.0,3974.0,87.0
73,denmark,32082.0,667.0,25987.0,5428.0,20.0,4321853.0,5533.0,115.0
74,tunisia,31259.0,456.0,5032.0,25771.0,124.0,271765.0,2637.0,38.0
75,bosnia_and_herzegovina,30345.0,927.0,23370.0,6048.0,0.0,257737.0,9265.0,283.0
76,el_salvador,29951.0,887.0,24995.0,4069.0,31.0,417880.0,4611.0,137.0
77,australia,27244.0,897.0,24987.0,1360.0,2.0,7973062.0,1065.0,35.0
78,myanmar,26064.0,598.0,7050.0,18416.0,0.0,399152.0,478.0,11.0
79,s._korea,24548.0,430.0,22624.0,1494.0,89.0,2404684.0,479.0,8.0
80,jordan,23998.0,181.0,6045.0,17772.0,55.0,1399752.0,2346.0,18.0
81,bulgaria,23871.0,887.0,15713.0,7271.0,58.0,568018.0,3443.0,128.0
82,greece,22078.0,436.0,9989.0,11653.0,100.0,1413838.0,2121.0,42.0
83,cameroon,21203.0,423.0,20117.0,663.0,61.0,149000.0,793.0,16.0
84,north_macedonia,20555.0,785.0,16099.0,3671.0,4.0,203779.0,9866.0,377.0
85,ivory_coast,20036.0,120.0,19696.0,220.0,0.0,170503.0,755.0,5.0
86,croatia,19932.0,317.0,16953.0,2662.0,29.0,353526.0,4864.0,77.0
87,slovakia,18797.0,61.0,5553.0,13183.0,43.0,539490.0,3442.0,11.0
88,madagascar,16702.0,237.0,16012.0,453.0,20.0,74446.0,599.0,9.0
89,norway,15452.0,275.0,11863.0,3314.0,3.0,1140084.0,2844.0,51.0
90,zambia,15415.0,337.0,14541.0,537.0,0.0,183146.0,832.0,18.0
91,senegal,15244.0,314.0,13198.0,1732.0,6.0,188157.0,904.0,19.0
92,albania,15231.0,416.0,9406.0,5409.0,15.0,93304.0,5294.0,145.0
93,malaysia,15096.0,155.0,10780.0,4161.0,73.0,1627612.0,465.0,5.0
94,sudan,13670.0,836.0,6764.0,6070.0,0.0,0.0,310.0,19.0
95,montenegro,13641.0,198.0,9429.0,4014.0,20.0,76051.0,21718.0,315.0
96,finland,11849.0,346.0,8500.0,3003.0,5.0,1170662.0,2138.0,62.0
97,namibia,11829.0,127.0,9778.0,1924.0,7.0,107587.0,4633.0,50.0
98,georgia,11271.0,78.0,6119.0,5074.0,0.0,706806.0,2827.0,20.0
99,guinea,10996.0,69.0,10304.0,623.0,24.0,33676.0,831.0,5.0
100,drc,10841.0,276.0,10242.0,323.0,0.0,0.0,120.0,3.0
101,maldives,10808.0,34.0,9654.0,1120.0,12.0,150743.0,19900.0,63.0
102,tajikistan,10180.0,79.0,9006.0,1095.0,0.0,0.0,1061.0,8.0
103,french_guiana,10144.0,69.0,9810.0,265.0,6.0,69242.0,33730.0,229.0
104,mozambique,9742.0,69.0,7171.0,2502.0,0.0,151813.0,309.0,2.0
105,uganda,9701.0,93.0,6022.0,3586.0,0.0,505662.0,210.0,2.0
106,luxembourg,9360.0,130.0,8038.0,1192.0,1.0,883804.0,14887.0,207.0
107,haiti,8854.0,230.0,7013.0,1611.0,0.0,29115.0,774.0,20.0
108,gabon,8835.0,54.0,8189.0,592.0,3.0,198364.0,3945.0,24.0
109,slovenia,8252.0,167.0,5024.0,3061.0,21.0,255751.0,3969.0,80.0
110,zimbabwe,7994.0,229.0,6474.0,1291.0,0.0,160921.0,536.0,15.0
111,jamaica,7559.0,138.0,3142.0,4279.0,17.0,84146.0,2550.0,47.0
112,mauritania,7548.0,163.0,7245.0,140.0,3.0,81919.0,1612.0,35.0
113,cabo_verde,6809.0,73.0,5932.0,804.0,23.0,87076.0,12210.0,131.0
114,guadeloupe,6483.0,77.0,2199.0,4207.0,35.0,59202.0,16202.0,192.0
115,angola,6031.0,212.0,2685.0,3134.0,10.0,85213.0,182.0,6.0
116,lithuania,5963.0,103.0,2751.0,3109.0,8.0,838501.0,2199.0,38.0
117,cuba,5948.0,123.0,5440.0,385.0,1.0,685018.0,525.0,11.0
118,malawi,5821.0,180.0,4644.0,997.0,4.0,56034.0,302.0,9.0
119,eswatini,5644.0,113.0,5254.0,277.0,11.0,45325.0,4851.0,97.0
120,djibouti,5423.0,61.0,5355.0,7.0,0.0,79257.0,5467.0,61.0
